Feature_ID	Proto-language	gray_parsimony_prediction_0	gray_parsimony_prediction_1	ntips_parsimony_gray	min_parsimony_gray	min_percent_parsimony_gray	gray_parsimony_prediction	Prediction	Parsimony result (Gray et al 2009-tree posteriors)
GB072	Proto-Oceanic	1	0	122	19	0.1557377049180328	Absent	NA	NA
GB072	Proto-Polynesian	1	0	122	19	0.1557377049180328	Absent	NA	NA
GB073	Proto-Central Pacific	1	0	120	33	0.275	Absent	0	True Negative
GB073	Proto-Eastern Polynesian	1	0	120	33	0.275	Absent	NA	NA
GB073	Proto-Oceanic	1	0	120	33	0.275	Absent	NA	NA
GB073	Proto-Polynesian	1	0	120	33	0.275	Absent	NA	NA
GB074	Proto-Central Pacific	0	1	128	9	0.0703125	Present	NA	NA
GB074	Proto-Eastern Polynesian	0	1	128	9	0.0703125	Present	NA	NA
GB074	Proto-Oceanic	0.005	0.995	128	9	0.0703125	Present	1	True Positive
GB074	Proto-Polynesian	0	1	128	9	0.0703125	Present	1	True Positive
GB075	Proto-Central Pacific	1	0	122	15	0.12295081967213115	Absent	NA	NA
GB075	Proto-Eastern Polynesian	1	0	122	15	0.12295081967213115	Absent	NA	NA
GB075	Proto-Oceanic	0.83	0.17	122	15	0.12295081967213115	Absent	0	True Negative
GB075	Proto-Polynesian	1	0	122	15	0.12295081967213115	Absent	NA	NA
GB079	Proto-Central Pacific	0	1	131	12	0.0916030534351145	Present	1	True Positive
GB079	Proto-Eastern Polynesian	0	1	131	12	0.0916030534351145	Present	NA	NA
GB079	Proto-Oceanic	0	1	131	12	0.0916030534351145	Present	1	True Positive
GB079	Proto-Polynesian	0	1	131	12	0.0916030534351145	Present	NA	NA
GB080	Proto-Central Pacific	0	1	130	26	0.2	Present	NA	NA
GB080	Proto-Eastern Polynesian	0.306	0.694	130	26	0.2	Present	NA	NA
GB080	Proto-Oceanic	0	1	130	26	0.2	Present	NA	NA
GB080	Proto-Polynesian	0	1	130	26	0.2	Present	NA	NA
GB081	Proto-Central Pacific	1	0	122	10	0.08196721311475409	Absent	NA	NA
GB081	Proto-Eastern Polynesian	1	0	122	10	0.08196721311475409	Absent	NA	NA
GB081	Proto-Oceanic	1	0	122	10	0.08196721311475409	Absent	NA	NA
GB081	Proto-Polynesian	1	0	122	10	0.08196721311475409	Absent	NA	NA
GB082	Proto-Central Pacific	1	0	129	10	0.07751937984496124	Absent	NA	NA
GB082	Proto-Eastern Polynesian	1	0	129	10	0.07751937984496124	Absent	NA	NA
GB082	Proto-Oceanic	1	0	129	10	0.07751937984496124	Absent	0	True Negative
