ID	Grambank_ID_desc	Name	OV vs VO types (excl affixes)	OV VO score for counting	Binary_Multistate	ColumnSpec	Patrons	Boundness	Flexivity	Gender_or_Noun_Class	Locus_of_Marking	Word_Order	Informativity
GB134	GB134 MainSubSameOrder	Is the order of constituents the same in main and subordinate clauses?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB135	GB135 SUBClauseInOPosition	Do clausal objects usually occur in the same position as nominal objects?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB136	GB136 WordOrderFixed	Is the order of core argument (i.e. S/A/P) constituents fixed?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB137	GB137 NEGFinal	Can standard negation be marked clause-finally?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB138	GB138 NEGInitial	Can standard negation be marked clause-initially?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB139	GB139 NEGProhibitive	Is there a difference between imperative (prohibitive) and declarative negation constructions?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	prohibitive
GB140	GB140 SameNEGLocExistNom	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	differentneg
GB146	GB146 VControl	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	NA	NA	Binary	NA	JLE	0.5	NA	NA	NA	NA	control
GB147	GB147 PassiveBoundV	Is there a morphological passive marked on the lexical verb?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	passive
GB148	GB148 AntipassiveBoundV	Is there a morphological antipassive marked on the lexical verb?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	antipassive
GB149	GB149 InverseBoundV	Is there a morphologically marked inverse on verbs?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	inverse
GB150	GB150 ClauseChain	Is there clause chaining?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB151	GB151 SwitchReference	Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""""""""switch reference"""""""")?	NA	NA	Binary	NA	HJH	1	NA	NA	NA	NA	switch reference
GB152	GB152 SimulSeqBound	Is there a morphologically marked distinction between simultaneous and sequential clauses?	NA	NA	Binary	NA	HJH	1	NA	NA	NA	NA	simultanseq
GB155	GB155 CAUSBound	Are causatives formed by affixes or clitics on verbs?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	NA
GB156	GB156 CAUSSay	Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB158	GB158 RedupV	Are verbs reduplicated?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB159	GB159 RedupNoun	Are nouns reduplicated?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB160	GB160 RedupOther	Are elements apart from verbs or nouns reduplicated?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB165	GB165 TrialBound	Is there productive morphological trial marking on nouns?	NA	NA	Binary	NA	HS	1	NA	NA	1	NA	trial
GB166	GB166 PaucalBound	Is there productive morphological paucal marking on nouns?	NA	NA	Binary	NA	HS	1	NA	NA	1	NA	paucal
GB167	GB167 PROLogophore	Is there a logophoric pronoun?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	pronounlog
GB170	GB170 ADJGender	Can an adnominal property word agree with the noun in gender/noun class?	NA	NA	Binary	NA	JLA JC	1	1	1	0	NA	NA
GB171	GB171 DEMGender	Can an adnominal demonstrative agree with the noun in gender/noun class?	NA	NA	Binary	NA	JLA JC	1	1	1	0	NA	NA
GB172	GB172 ARTGender	Can an article agree with the noun in gender/noun class?	NA	NA	Binary	NA	JLA JC	1	1	1	0	NA	NA
GB177	GB177 AnimacyBoundV	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?	NA	NA	Binary	NA	AWM	1	1	1	1	NA	verb_animacy
GB184	GB184 AdjNUM	Can an adnominal property word agree with the noun in number?	NA	NA	Binary	NA	JLA JC	1	NA	NA	0	NA	NA
GB185	GB185 DEMNum	Can an adnominal demonstrative agree with the noun in number?	NA	NA	Binary	NA	JLA JC	1	NA	NA	0	NA	NA
GB186	GB186 ARTNum	Can an article agree with the noun in number?	NA	NA	Binary	NA	JLA JC	1	NA	NA	0	NA	NA
GB187	GB187 DIMBound	Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?	NA	NA	Binary	NA	JLA JC	1	1	NA	NA	NA	diminutive
GB188	GB188 AUGBound	Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?	NA	NA	Binary	NA	JLA JC	1	1	NA	NA	NA	augmentative
GB192	GB192 GenderPhono	Is there a gender system where a noun's phonological properties are a factor in class assignment?	NA	NA	Binary	NA	HJH	NA	1	1	NA	NA	NA
GB193	GB193 OrderADJ	What is the order of adnominal property word and noun?	NA	NA	Multi	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB196	GB196 PRO2PMascFem	Is there a male/female distinction in 2nd person independent pronouns?	NA	NA	Binary	NA	HJH	NA	NA	1	NA	NA	pronoungender2
GB197	GB197 PRO1PMascFem	Is there a male/female distinction in 1st person independent pronouns?	NA	NA	Binary	NA	HJH	NA	NA	1	NA	NA	pronoungender1
GB198	GB198 NUMGender	Can an adnominal numeral agree with the noun in gender/noun class?	NA	NA	Binary	NA	JLA JC	1	1	1	0	NA	NA
GB203	GB203 QUANTOrder	What is the order of the adnominal collective universal quantifier ('all') and the noun?	NA	NA	Multi	NA	HJH	NA	NA	NA	NA	NA	NA
GB204	GB204 QUANTUniversal	Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB250	GB250 PredPOSSHabeo	Can predicative possession be expressed with a transitive 'habeo' verb?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	NA
