Feature_ID	Proto-language	value	tree_type	variable	method	conflict
GB126	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB127	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB127	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB127	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB127	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB129	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB129	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB129	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB129	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB131	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB131	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB131	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB131	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB132	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB132	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB132	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB132	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB133	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB133	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB133	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB133	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB134	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB134	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB134	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB134	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB135	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB135	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB135	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB135	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB136	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB136	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB136	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB136	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB137	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB137	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB137	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB137	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB138	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB138	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB138	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB138	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB139	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB139	Proto-Oceanic	Present	glottolog	prediction	parsimony	
