pol_complex_code_Hedvig,me_stripped,Smallest_Island_group_main,reference if not same as Sheehan,glottocode,_prop,Sheehan_2018_code,EA033_code,EA032_code,same,Glottocode_spec,Language_level_ID,level,Family_me
1,Amblong,Santo,Bonnemaison (1996:200),ambl1237,,,,,,ambl1237,ambl1237,language,Austronesian
1,Kiai,Santo,Bonnemaison (1996:200),fort1240,,,,,,fort1240,fort1240,language,Austronesian
1,Nethalp,Santo,Bonnemaison (1996:200),lore1244,,,,,,lore1244,lore1244,language,Austronesian
1,Merei,Santo,Bonnemaison (1996:200),mere1242,,,,,,mere1242,mere1242,language,Austronesian
1,Morouas,Santo,Bonnemaison (1996:200),moro1286,,,,,,moro1286,moro1286,language,Austronesian
1,rango,Santo,Bonnemaison (1996:200),ra1263,,,,,,ra1263,ra1263,language,Austronesian
1,vut,Santo,Bonnemaison (1996:200),vu1237,,,,,,vu1237,vu1237,language,Austronesian
1,Nokuku,Santo,Bonnemaison (1996:200),noku1237,,,,,,noku1237,noku1237,language,Austronesian
1,Piamatsi,Santo,Bonnemaison (1996:200),piam1242,,,,,,piam1242,piam1242,language,Austronesian
1,Mores,Santo,Bonnemaison (1996:200),rori1237,,,,,,rori1237,rori1237,language,Austronesian
1,Wanohe,Santo,Bonnemaison (1996:200),saka1289,,,,,,saka1289,saka1289,language,Austronesian
1,Ngen,Santo,Bonnemaison (1996:200),shar1244,,,,,,shar1244,shar1244,language,Austronesian
1,Tambotalo,Santo,Bonnemaison (1996:200),tamb1253,,,,,,tamb1253,tamb1253,language,Austronesian
1,Tasmate,Santo,Bonnemaison (1996:200),tasm1246,,,,,,tasm1246,tasm1246,language,Austronesian
1,Tiale,Santo,Bonnemaison (1996:200),tial1239,,,,,,tial1239,tial1239,language,Austronesian
1,Tolomako,Santo,Bonnemaison (1996:200),tolo1255,,,,,,tolo1255,tolo1255,language,Austronesian
1,Valpei,Santo,Bonnemaison (1996:200),valp1237,,,,,,valp1237,valp1237,language,Austronesian
1,Vupu,Santo,Bonnemaison (1996:200),vu1239,,,,,,vu1239,vu1239,language,Austronesian
1,Ale,Santo,Bonnemaison (1996:200),wail1242,,,,,,wail1242,wail1242,language,Austronesian
