Language_ID	aes	category	classification	level	med	subclassification	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID
biem1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/scho1242/kair1261/mana1294/bamm1241	language	Wordlist or less	biem1237:1	Biem	Papunesia	-3.61342	144.816	biem1237	bmc	PG	aust1307	biem1237
bier1244	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/baki1243	language	long grammar	bier1244:1	Bierebo	Papunesia	-16.6663	168.154	bier1244	bnk	VU	aust1307	bier1244
bier1246	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/bier1245	language	Wordlist or less	(nucl1480:1,vovo1238:1)bier1246:1	Bieria	Papunesia	-16.7867	168.232	bier1246	brj	VU	aust1307	bier1246
bign1238	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/peri1262/nort3261	language	grammar	bign1238:1	Big Nambas	Papunesia	-16.0903	167.239	bign1238	nmb	VU	aust1307	bign1238
bilb1241	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/nucl1510	language	grammar sketch	bilb1241:1	Bilibil	Papunesia	-5.26505	145.764	bilb1241	brz	PG	aust1307	bilb1241
bilu1244	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/labe1241	language	Wordlist or less	bilu1244:1	Bilur	Papunesia	-4.39732	152.334	bilu1244	bxf	PG	aust1307	bilu1244
bina1271	extinct	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/oumi1237/mago1247	language	Wordlist or less	bina1271:1	Bina (Papua New Guinea)	Papunesia	-10.2667	149.661	bina1271	bmn	PG	aust1307	bina1271
bipi1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/admi1239/east2459/manu1262/west2533/west2848	language	Wordlist or less	bipi1237:1	Bipi	Papunesia	-2.11115	146.398	bipi1237	biq	PG	aust1307	bipi1237
bira1254	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/guad1241/sout2854	language	Wordlist or less	bira1254:1	Birao	Papunesia	-9.73716	160.52	bira1254	brr	SB	aust1307	bira1254
blab1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/sant1458/cent2063/zaza1247	language	long grammar	blab1237:1	Blablanga	Papunesia	-8.15058	159.419	blab1237	blp	SB	aust1307	blab1237
bola1250	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/will1243/bola1253	language	grammar	(haru1243:1,nucl1497:1)bola1250:1	Bola	Papunesia	-5.55792	150.095	bola1250	bnp	PG	aust1307	bola1250
bong1287	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/sarm1241/sarm1242	language	Wordlist or less	bong1287:1	Bonggo	Papunesia	-2.28044	139.576	bong1287	bpg	ID	aust1307	bong1287
bose1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/dobu1240/bose1238	language	Wordlist or less	bose1237:1	Boselewa	Papunesia	-9.44763	150.693	bose1237	bwf	PG	aust1307	bose1237
budi1249	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/peri1258/kili1270/kili1266	language	Wordlist or less	budi1249:1	Budibud	Papunesia	-9.29802	153.689	budi1249	btp	PG	aust1307	budi1249
buga1250	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/nort2858	language	grammar	buga1250:1	Bugawac	Papunesia	-6.67519	147.32	buga1250	buk	PG	aust1307	buga1250
bugh1239	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/guad1241/nucl1470/ngge1240	language	grammar sketch	(hage1247:1,vula1237:1)bugh1239:1	Bughotu	Papunesia	-8.47948	159.802	bugh1239	bgt	SB	aust1307	bugh1239
buhu1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/suau1243	language	grammar sketch	buhu1237:1	Buhutu	Papunesia	-10.5074	150.18	buhu1237	bxh	PG	aust1307	buhu1237
bulu1253	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/will1243/bola1253	language	Wordlist or less	bulu1253:1	Bulu (Papua New Guinea)	Papunesia	-5.06134	150.101	bulu1253	bjl	PG	aust1307	bulu1253
buna1276	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/dobu1240/buna1279	language	grammar sketch	(bara1366:1,kasi1254:1,kero1243:1,kuma1277:1,lomi1237:1,meud1237:1,nucl1504:1,sawa1248:1,sawa1249:1,sipu1240:1,weyo1238:1)buna1276:1	Bunama	Papunesia	-10.0761	151.066	buna1276	bdd	PG	aust1307	buna1276
burm1263	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315	language	Wordlist or less	burm1263:1	Burmbar	Papunesia	-16.41653	167.73124	burm1263	vrt	VU	aust1307	burm1263
butm1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/east2754/sout3220	language	Wordlist or less	butm1237:1	Farafi	Papunesia	-15.3353	167.034	butm1237	bnr	VU	aust1307	butm1237
bwai1242	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/bwai1241/bwai1244	language	grammar sketch	(bebe1251:1,bele1251:1,bwai1243:1,faiy1237:1,kili1263:1,kili1264:1,lauw1238:1,mata1284:1,wagi1248:1)bwai1242:1	Bwaidoka	Papunesia	-9.51158	150.297	bwai1242	bwd	PG	aust1307	bwai1242
bwan1241	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/suau1243	language	Wordlist or less	(kwal1256:1,wale1245:1)bwan1241:1	Bwanabwana	Papunesia	-10.6599	151.034	bwan1241	tte	PG	aust1307	bwan1241
bwat1240	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/nort3325/nort3211/vohk1236/vohk1234/bwat1242/haek1241	language	grammar sketch	bwat1240:1	Bwatoo	Papunesia	-21.3777	165.076	bwat1240	bwa	NC	aust1307	bwat1240
bwen1239	nearly extinct	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315/sout3239	language	Wordlist or less	bwen1239:1	Bwenelang	Papunesia	-16.338946	167.660849	bwen1239	NA	VU	aust1307	bwen1239
caac1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/nort3325/extr1244/kumn1236	language	grammar sketch	(laco1243:1,poue1237:1)caac1237:1	Caac	Papunesia	-20.4114	164.578	caac1237	msq	NC	aust1307	caac1237
caro1242	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/micr1243/micr1244/cent2276/west2844/pona1247/truk1243/nucl1749/cent2290/sata1238/macr1274	language	grammar sketch	caro1242:1	Carolinian	Papunesia	15.205	145.765	caro1242	cal	MP	aust1307	caro1242
cemu1238	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/nort3325/nort3211/vohk1236/cemp1235	language	long grammar	cemu1238:1	Cemuhî	Papunesia	-20.8489	165.13	cemu1238	cam	NC	aust1307	cemu1238
cent2058	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/maew1234	language	grammar sketch	(loto1239:1,pete1237:1,tano1245:1)cent2058:1	Central Maewo	Papunesia	-15.0784	168.135	cent2058	mwo	VU	aust1307	cent2058
chek1238	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/sant1458/east2452	language	long grammar	(hogr1237:1,mari1427:1)chek1238:1	Cheke Holo	Papunesia	-8.27055	159.625	chek1238	mrn	SB	aust1307	chek1238
