taxon,glottocode,xd_ids,soc_ids,ABVD_ID
Takuu,taku1257,,,244
Talur,galo1243,,,300
Tanema,tane1237,,,357
Tanimbili,tani1255,,,354
TannaSouthwest,sout2869,xd863,Ih10,228
Tape,mara1399,,,460
TausugJolo_D,taus1251,,,452
TboliTagabili,tbol1240,,,133
Teanu,tean1237,,,224
TelaMasbuar,tela1241,,,315
Teop,teop1238,,,187
Tetum,tetu1246,,,134
Teun,teun1241,,,303
Thao,thao1240,,,241
Tiang,tian1237,,,391
Tigak,tiga1245,,,135
Tikopia,tiko1237,xd881,"Ii2, SCCS100",155
TimugonMurut,timu1262,,,22
Toambaita,toab1237,,,223
TobaBatak,bata1289,xd753,Ib4,188
Tokelau,toke1240,xd885,Ii6,245
Tolo,tali1259,,,469
Tongan,tong1325,xd878,Ii12,136
Tontemboan,tont1239,,,137
Tsou,tsou1248,,,138
Tuamotu,tuam1242,xd894,Ij5,246
Tugun,tugu1245,,,297
TungagTungakLavongai,tung1290,,,359
Tunjung,tunj1244,,,189
Tuvalu,tuva1244,xd883,Ii4,163
Ubir,ubir1237,,,222
UjirNAru,ujir1237,,,190
Ura,urav1235,,,464
UveaEast,wall1257,,,258
UveaWest,west2516,,,259
VaeakauTaumako,pile1238,,,375
VaghuaChoiseul,vagh1249,xd844,Ig12,139
Vano,vano1237,,,356
Varisi,vari1239,,,191
Vitu,mudu1242,xd849,Ig17,140
WBukidnonManobo,west2555,xd738,Ia15,144
Wanukaka,wanu1241,,,319
Waropen,waro1242,xd820,Ie6,142
Watubela,watu1247,,,143
WejewaTanaRighu_D,weje1237,,,326
Werinama,bobo1254,,,278
WindesiWandamen,wand1267,,,145
Wogeo,woge1237,xd818,Ie4,146
Woleai,wole1240,xd835,If4,198
Woleaian,wole1240,xd831,If16,347
Wolio,woli1241,,,192
Wuna,muna1247,,,147
Wuvulu,wuvu1239,xd845,Ig13,148
Yakan,yaka1277,,,200
Yamdena,yamd1240,,,78
Yami,yami1254,xd737,Ia14,254
