Feature_ID	Proto-language	parsimony_glottolog	parsimony_gray_mcct	parsimony_gray_posteriors	ML_glottolog	ML_gray_mcct	ML_gray_posteriors	most_common_most_common	HL_HL
GB057	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB057	Proto-Central Pacific	Absent	Present	Present	Absent	Present	Present	Present	
GB057	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB057	Proto-Eastern Polynesian	Half	Half	Present	Present	Present	Present	Half	
GB058	Proto-Oceanic	Present	Half	Present	Present	Present	Present	Half	Present
GB058	Proto-Central Pacific	Present	Present	Present	Present	Half	Present	Absent	
GB058	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB058	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB059	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	Present
GB059	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB059	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB059	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB068	Proto-Oceanic	Present	Half	Half	Present	Present	Present	Present	Present
GB068	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB068	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB068	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB069	Proto-Oceanic	Absent	Half	Absent	Absent	Absent	Absent	Absent	
GB069	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB069	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB069	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB070	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB070	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB070	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB070	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB071	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB071	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB071	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB071	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB072	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB072	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB072	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB072	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB073	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB073	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB073	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB073	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB074	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	Present
GB074	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB074	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB074	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB075	Proto-Oceanic	Absent	Half	Absent	Absent	Absent	Absent	Absent	Absent
GB075	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB075	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB075	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB079	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	Present
GB079	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	Present
GB079	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB079	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB080	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB080	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB080	Proto-Polynesian	Present	Present	Present	Present	Present	Half	Present	
GB080	Proto-Eastern Polynesian	Present	Half	Present	Absent	Present	Absent	Half	
GB081	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB081	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB081	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB081	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB082	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB082	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB082	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB082	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB083	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB083	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB083	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB083	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB084	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB084	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB084	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB084	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB086	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present
GB086	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB086	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB086	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB089	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB089	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB089	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB089	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB090	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Half	Present
GB090	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB090	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB090	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB091	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB091	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB091	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB091	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB092	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Half	Present
GB092	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB092	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB092	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB093	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Half	Present
GB093	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Absent	
GB093	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB093	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB094	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB094	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
