glottolog_parsimony_prediction	gray_mcct_parsimony_prediction	gray_posteriors_parsimony_prediction	glottolog_ML_prediction	gray_mcct_ML_prediction	gray_posteriors_ML_prediction	most_common_prediction	HL_prediction	Feature_ID	Proto-language	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	ntips_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	gray_mcct_parsimony_prediction_0	gray_mcct_parsimony_prediction_1	Parsimony result (Gray et al 2009-tree)	min_percent_parsimony_gray	min_parsimony_gray	ntips_parsimony_gray	gray_posteriors_parsimony_prediction_0	gray_posteriors_parsimony_prediction_1	ntips_parsimony_gray_posteriors	min_percent_parsimony_gray_posteriors	min_parsimony_gray_posteriors	Parsimony result (Gray et al 2009-tree posteriors)	glottolog_ML_prediction_0	glottolog_ML_prediction_1	min_percent_ML_glottolog	min_ML_glottolog	ntips_ML_glottolog	ML result (Glottolog-tree)	gray_mcct_ML_prediction_0	gray_mcct_ML_prediction_1	min_percent_ML_gray	min_ML_gray	ML result (Gray et al 2009-tree)	ntips_ML_gray	ML result (Gray et al 2009-tree posteriors)	ntips_ML_gray_posteriors	min_ML_gray_posteriors	min_percent_ML_gray_posteriors	gray_posteriors_ML_prediction_0	gray_posteriors_ML_prediction_1	ntip_most_common	min_most_common	most_common_prediction_0	most_common_prediction_1	min_percent_most_common	result_most_common	ntips	zeroes_total	ones_total	min_percent	conflict
Absent	Absent	Absent	Present	Absent	Absent	Absent		GB130b	Proto-Oceanic	1	0		259	0.23938223938223935	62	1	0		0.30158730158730157	38	126	1	0	126	0.30158730158730157	38		0.15059200701151265	0.8494079929884873	0.23938223938223935	62	259		0.7080799518817473	0.2919200481182527	0.30158730158730157	38		126		126	38	0.30158730158730157	0.9911387276922198	0.00886127230778024	261	64	0.7547892720306514	0.24521072796934865	0.24521072796934865		259	197	62	0.23938223938223935	
Present	Present	Present	Present	Present	Present	Present		GB130b	Proto-Eastern Polynesian	0	1		259	0.23938223938223935	62	0	1		0.30158730158730157	38	126	0	1	126	0.30158730158730157	38		5.088918058470526e-10	0.9999999994911082	0.23938223938223935	62	259		0.00113307355168924	0.9988669264483108	0.30158730158730157	38		126		126	38	0.30158730158730157	4.140375904075319e-4	0.9995859624095924	261	64	0	1	0.24521072796934865		259	197	62	0.23938223938223935	
Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	GB193a	Proto-Oceanic	1	0	True Negative	252	0.18253968253968253	46	1	0	True Negative	0.2063492063492063	26	126	1	0	126	0.2063492063492063	26	True Negative	0.7126448825028675	0.28735511749713244	0.18253968253968253	46	252	True Negative	0.7803133624918777	0.21968663750812223	0.2063492063492063	26	True Negative	126	True Negative	126	26	0.2063492063492063	0.7925667893222782	0.2074332106777218	253	46	0.8181818181818182	0.18181818181818185	0.18181818181818185	True Negative	252	206	46	0.18253968253968253	
Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	GB193a	Proto-Polynesian	1	0	True Negative	252	0.18253968253968253	46	1	0	True Negative	0.2063492063492063	26	126	1	0	126	0.2063492063492063	26	True Negative	0.7829268624983674	0.21707313750163257	0.18253968253968253	46	252	True Negative	0.7803133624918777	0.2196866375081223	0.2063492063492063	26	True Negative	126	True Negative	126	26	0.2063492063492063	0.7925153278173848	0.2074846721826153	253	46	0.7333333333333333	0.26666666666666666	0.18181818181818185	True Negative	252	206	46	0.18253968253968253	
Absent	Absent	Absent	Absent	Absent	Absent	Absent		GB193a	Proto-Central Pacific	1	0		252	0.18253968253968253	46	1	0		0.2063492063492063	26	126	1	0	126	0.2063492063492063	26		0.9225340133621406	0.07746598663785945	0.18253968253968253	46	252		0.7803133624918778	0.2196866375081223	0.2063492063492063	26		126		126	26	0.2063492063492063	0.7925663515447353	0.2074336484552647	253	46	0.7647058823529411	0.2352941176470588	0.18181818181818185		252	206	46	0.18253968253968253	
Absent	Absent	Absent	Absent	Absent	Absent	Absent		GB193a	Proto-Eastern Polynesian	1	0		252	0.18253968253968253	46	1	0		0.2063492063492063	26	126	1	0	126	0.2063492063492063	26		0.9343833542788949	0.06561664572110518	0.18253968253968253	46	252		0.7803133624918777	0.21968663750812228	0.2063492063492063	26		126		126	26	0.2063492063492063	0.7924277994218715	0.20757220057812856	253	46	0.7777777777777778	0.2222222222222222	0.18181818181818185		252	206	46	0.18253968253968253	
Present	Present	Present	Half	Present	Present	Present	Present	GB193b	Proto-Oceanic	0	1	True Positive	252	0.05555555555555555	14	0	1	True Positive	0.05555555555555555	7	126	0	1	126	0.05555555555555555	7	True Positive	0.4667642042019731	0.5332357957980269	0.05555555555555555	14	252	Half	0.06094151217879631	0.9390584878212036	0.05555555555555555	7	True Positive	126	True Positive	126	7	0.05555555555555555	0.00185392764194078	0.9981460723580592	253	14	0.05533596837944664	0.9446640316205532	0.05533596837944664	True Positive	252	14	238	0.05555555555555555	
Present	Present	Present	Present	Present	Present	Present	Present	GB193b	Proto-Polynesian	0	1	True Positive	252	0.05555555555555555	14	0	1	True Positive	0.05555555555555555	7	126	0	1	126	0.05555555555555555	7	True Positive	0.01910312859113999	0.98089687140886	0.05555555555555555	14	252	True Positive	0.06088332095095399	0.939116679049046	0.05555555555555555	7	True Positive	126	True Positive	126	7	0.05555555555555555	0.00170465866610415	0.998295341333896	253	14	0	1	0.05533596837944664	True Positive	252	14	238	0.05555555555555555	
Present	Present	Present	Present	Present	Present	Present		GB193b	Proto-Central Pacific	0	1		252	0.05555555555555555	14	0	1		0.05555555555555555	7	126	0	1	126	0.05555555555555555	7		0.0790370643077774	0.9209629356922228	0.05555555555555555	14	252		0.06093962737174845	0.9390603726282516	0.05555555555555555	7		126		126	7	0.05555555555555555	0.00257170307126041	0.9974282969287396	253	14	0	1	0.05533596837944664		252	14	238	0.05555555555555555	
Present	Present	Present	Present	Present	Present	Present		GB193b	Proto-Eastern Polynesian	0	1		252	0.05555555555555555	14	0	1		0.05555555555555555	7	126	0	1	126	0.05555555555555555	7		0.01302575466074536	0.9869742453392546	0.05555555555555555	14	252		0.06066997873998364	0.9393300212600164	0.05555555555555555	7		126		126	7	0.05555555555555555	0.00136715437422696	0.998632845625773	253	14	0	1	0.05533596837944664		252	14	238	0.05555555555555555	
