Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB081	Proto-Oceanic	0.9984073313710796	0.0015926686289204023	122	10	0.08196721311475409	Absent	NA	NA
GB081	Proto-Polynesian	0.9991140438223723	8.859561776276797e-4	122	10	0.08196721311475409	Absent	NA	NA
GB082	Proto-Central Pacific	0.9471747283477456	0.052825271652254334	129	10	0.07751937984496124	Absent	NA	NA
GB082	Proto-Eastern Polynesian	0.9879546711198751	0.012045328880124833	129	10	0.07751937984496124	Absent	NA	NA
GB082	Proto-Oceanic	0.9431354849964102	0.056864515003589806	129	10	0.07751937984496124	Absent	0	True Negative
GB082	Proto-Polynesian	0.9794856846354656	0.020514315364534415	129	10	0.07751937984496124	Absent	NA	NA
GB083	Proto-Central Pacific	0.8599542994135111	0.1400457005864889	128	18	0.140625	Absent	NA	NA
GB083	Proto-Eastern Polynesian	0.8720873149233583	0.12791268507664172	128	18	0.140625	Absent	NA	NA
GB083	Proto-Oceanic	0.8600715677773824	0.1399284322226176	128	18	0.140625	Absent	0	True Negative
GB083	Proto-Polynesian	0.8663944342441698	0.13360556575583016	128	18	0.140625	Absent	NA	NA
GB084	Proto-Central Pacific	0.9429325389467136	0.05706746105328642	128	21	0.1640625	Absent	NA	NA
GB084	Proto-Eastern Polynesian	0.9988488126956083	0.0011511873043916752	128	21	0.1640625	Absent	NA	NA
GB084	Proto-Oceanic	0.9822303183047493	0.017769681695250745	128	21	0.1640625	Absent	0	True Negative
GB084	Proto-Polynesian	0.9961501876734027	0.003849812326597291	128	21	0.1640625	Absent	NA	NA
GB086	Proto-Central Pacific	0.7282746446480544	0.2717253553519456	121	40	0.33057851239669417	Absent	NA	NA
GB086	Proto-Eastern Polynesian	0.9822367005679262	0.017763299432073835	121	40	0.33057851239669417	Absent	NA	NA
GB086	Proto-Oceanic	0.6714393720113607	0.3285606279886393	121	40	0.33057851239669417	Absent	1	False Negative
GB086	Proto-Polynesian	0.9654227783602412	0.03457722163975881	121	40	0.33057851239669417	Absent	NA	NA
GB089	Proto-Central Pacific	0.9904845717847475	0.00951542821525248	129	13	0.10077519379844961	Absent	NA	NA
GB089	Proto-Eastern Polynesian	0.9959620118460961	0.004037988153903826	129	13	0.10077519379844961	Absent	NA	NA
GB089	Proto-Oceanic	0.995956578817071	0.004043421182929008	129	13	0.10077519379844961	Absent	0	True Negative
GB089	Proto-Polynesian	0.9958348727804619	0.004165127219538099	129	13	0.10077519379844961	Absent	NA	NA
GB090	Proto-Central Pacific	0.8434792405212646	0.1565207594787355	129	51	0.3953488372093023	Absent	NA	NA
GB090	Proto-Eastern Polynesian	0.9999102045105706	8.979548942939156e-5	129	51	0.3953488372093023	Absent	NA	NA
GB090	Proto-Oceanic	0.14691093673373828	0.8530890632662617	129	51	0.3953488372093023	Present	1	True Positive
GB090	Proto-Polynesian	0.9952163090922326	0.004783690907767436	129	51	0.3953488372093023	Absent	NA	NA
GB091	Proto-Central Pacific	0.996662372071448	0.0033376279285520154	126	10	0.07936507936507936	Absent	NA	NA
GB091	Proto-Eastern Polynesian	0.9975624661246563	0.0024375338753437137	126	10	0.07936507936507936	Absent	NA	NA
GB091	Proto-Oceanic	0.9965878174634918	0.0034121825365082442	126	10	0.07936507936507936	Absent	0	True Negative
GB091	Proto-Polynesian	0.9973413271327684	0.002658672867231641	126	10	0.07936507936507936	Absent	NA	NA
GB092	Proto-Central Pacific	0.7886733743855945	0.2113266256144055	125	46	0.368	Absent	NA	NA
GB092	Proto-Eastern Polynesian	0.9998754724464599	1.2452755354011856e-4	125	46	0.368	Absent	NA	NA
GB092	Proto-Oceanic	0.044006904831938025	0.955993095168062	125	46	0.368	Present	1	True Positive
GB092	Proto-Polynesian	0.9969413250091304	0.003058674990869646	125	46	0.368	Absent	NA	NA
GB093	Proto-Central Pacific	0.2776304372665958	0.7223695627334041	128	52	0.40625000000000006	Present	NA	NA
GB093	Proto-Eastern Polynesian	0.9999618786690282	3.812133097177554e-5	128	52	0.40625000000000006	Absent	NA	NA
GB093	Proto-Oceanic	5.607332319916724e-4	0.9994392667680083	128	52	0.40625000000000006	Present	1	True Positive
GB093	Proto-Polynesian	0.981720817694082	0.018279182305917987	128	52	0.40625000000000006	Absent	NA	NA
GB094	Proto-Central Pacific	0.9827508135239792	0.017249186476020844	128	2	0.015625	Absent	NA	NA
GB094	Proto-Eastern Polynesian	0.993868003700389	0.0061319962996110484	128	2	0.015625	Absent	NA	NA
GB094	Proto-Oceanic	0.9820407545140128	0.01795924548598718	128	2	0.015625	Absent	0	True Negative
GB094	Proto-Polynesian	0.9915108119315846	0.008489188068415324	128	2	0.015625	Absent	NA	NA
GB095	Proto-Central Pacific	0.9693303162790662	0.030669683720933812	115	6	0.052173913043478265	Absent	NA	NA
GB095	Proto-Eastern Polynesian	0.9980157381378597	0.0019842618621402396	115	6	0.052173913043478265	Absent	NA	NA
GB095	Proto-Oceanic	0.9619387755390744	0.03806122446092561	115	6	0.052173913043478265	Absent	NA	NA
GB095	Proto-Polynesian	0.9953208823456565	0.00467911765434345	115	6	0.052173913043478265	Absent	NA	NA
GB096	Proto-Central Pacific	0.8705385513668674	0.12946144863313258	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Eastern Polynesian	0.8704767463310654	0.12952325366893455	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Oceanic	0.8705401213816852	0.12945987861831482	116	15	0.12931034482758622	Absent	NA	NA
GB096	Proto-Polynesian	0.8705266709416938	0.1294733290583062	116	15	0.12931034482758622	Absent	NA	NA
GB098	Proto-Central Pacific	0.9326369536729826	0.06736304632701737	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Eastern Polynesian	0.9692830477285871	0.030716952271412946	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Oceanic	0.9356744747070148	0.06432552529298519	116	22	0.1896551724137931	Absent	NA	NA
GB098	Proto-Polynesian	0.9672376025005522	0.03276239749944774	116	22	0.1896551724137931	Absent	NA	NA
GB099	Proto-Central Pacific	0.9988838696919997	0.001116130308000247	102	2	0.019607843137254898	Absent	NA	NA
GB099	Proto-Eastern Polynesian	0.9995206512096724	4.7934879032758635e-4	102	2	0.019607843137254898	Absent	NA	NA
GB099	Proto-Oceanic	0.9971218548398628	0.0028781451601372116	102	2	0.019607843137254898	Absent	NA	NA
GB099	Proto-Polynesian	0.9988838696919997	0.001116130308000247	102	2	0.019607843137254898	Absent	NA	NA
GB103	Proto-Central Pacific	0.9883635558622305	0.011636444137769512	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Eastern Polynesian	0.9959347282849323	0.004065271715067693	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Oceanic	0.988532552026065	0.011467447973934926	106	14	0.1320754716981132	Absent	NA	NA
GB103	Proto-Polynesian	0.9953160689293399	0.004683931070660119	106	14	0.1320754716981132	Absent	NA	NA
GB104	Proto-Central Pacific	0.9089801464940962	0.09101985350590382	105	13	0.12380952380952381	Absent	NA	NA
