Feature_ID	Proto-language	Language_ID	Prediction	Historical Linguistics sources
GB084	Proto-Polynesian	poly1242	NA	NA
GB086	Proto-Polynesian	poly1242	NA	NA
GB089	Proto-Polynesian	poly1242	NA	NA
GB090	Proto-Polynesian	poly1242	NA	NA
GB091	Proto-Polynesian	poly1242	NA	NA
GB092	Proto-Polynesian	poly1242	NA	NA
GB093	Proto-Polynesian	poly1242	NA	NA
GB094	Proto-Polynesian	poly1242	NA	NA
GB095	Proto-Polynesian	poly1242	NA	NA
GB096	Proto-Polynesian	poly1242	NA	NA
GB098	Proto-Polynesian	poly1242	NA	NA
GB099	Proto-Polynesian	poly1242	NA	NA
GB103	Proto-Polynesian	poly1242	NA	NA
GB104	Proto-Polynesian	poly1242	NA	NA
GB105	Proto-Polynesian	poly1242	NA	NA
GB107	Proto-Polynesian	poly1242	NA	NA
GB108	Proto-Polynesian	poly1242	NA	NA
GB109	Proto-Polynesian	poly1242	NA	NA
GB110	Proto-Polynesian	poly1242	NA	NA
GB111	Proto-Polynesian	poly1242	NA	NA
GB114	Proto-Polynesian	poly1242	NA	NA
GB116	Proto-Polynesian	poly1242	NA	NA
GB117	Proto-Polynesian	poly1242	NA	NA
GB118	Proto-Polynesian	poly1242	NA	NA
GB119	Proto-Polynesian	poly1242	NA	NA
GB120	Proto-Polynesian	poly1242	NA	NA
GB121	Proto-Polynesian	poly1242	NA	NA
GB122	Proto-Polynesian	poly1242	NA	NA
GB123	Proto-Polynesian	poly1242	NA	NA
GB124	Proto-Polynesian	poly1242	NA	NA
GB126	Proto-Polynesian	poly1242	NA	NA
GB127	Proto-Polynesian	poly1242	NA	NA
GB129	Proto-Polynesian	poly1242	NA	NA
