Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB059	Proto-Polynesian	0.026491589763036616	0.9735084102369633	126	3	0.023809523809523808	Present	1	True Positive
GB065a	Proto-Central Pacific	0.19152577710743346	0.8084742228925665	131	61	0.46564885496183206	Present	NA	NA
GB065a	Proto-Eastern Polynesian	0.01270957281003261	0.9872904271899674	131	61	0.46564885496183206	Present	NA	NA
GB065a	Proto-Oceanic	0.14274787097941186	0.8572521290205881	131	61	0.46564885496183206	Present	1	True Positive
GB065a	Proto-Polynesian	0.09043599686643401	0.909564003133566	131	61	0.46564885496183206	Present	NA	NA
GB065b	Proto-Central Pacific	0.06309800197166636	0.9369019980283336	131	22	0.16793893129770993	Present	NA	NA
GB065b	Proto-Eastern Polynesian	0.056533720846427986	0.943466279153572	131	22	0.16793893129770993	Present	NA	NA
GB065b	Proto-Oceanic	0.10852497942007809	0.8914750205799219	131	22	0.16793893129770993	Present	1	True Positive
GB065b	Proto-Polynesian	0.057566808561107734	0.9424331914388923	131	22	0.16793893129770993	Present	NA	NA
GB068	Proto-Central Pacific	0.27728388369162427	0.7227161163083757	112	31	0.2767857142857143	Present	NA	NA
GB068	Proto-Eastern Polynesian	0.27549774080869205	0.724502259191308	112	31	0.2767857142857143	Present	NA	NA
GB068	Proto-Oceanic	0.2777186861154776	0.7222813138845223	112	31	0.2767857142857143	Present	1	True Positive
GB068	Proto-Polynesian	0.276988902545041	0.723011097454959	112	31	0.2767857142857143	Present	NA	NA
GB069	Proto-Central Pacific	0.6249825210152777	0.3750174789847222	104	39	0.375	Absent	NA	NA
GB069	Proto-Eastern Polynesian	0.624988788413882	0.375011211586118	104	39	0.375	Absent	NA	NA
GB069	Proto-Oceanic	0.6249825098530859	0.3750174901469141	104	39	0.375	Absent	NA	NA
GB069	Proto-Polynesian	0.6249826910698464	0.3750173089301536	104	39	0.375	Absent	NA	NA
GB070	Proto-Central Pacific	0.9434632432309339	0.056536756769066096	124	7	0.056451612903225805	Absent	NA	NA
GB070	Proto-Eastern Polynesian	0.9434635113156903	0.056536488684309764	124	7	0.056451612903225805	Absent	NA	NA
GB070	Proto-Oceanic	0.9434632432727409	0.05653675672725906	124	7	0.056451612903225805	Absent	NA	NA
GB070	Proto-Polynesian	0.9434632339996502	0.056536766000349896	124	7	0.056451612903225805	Absent	0	True Negative
GB071	Proto-Central Pacific	0.7660637645201127	0.23393623547988732	124	29	0.23387096774193547	Absent	0	True Negative
GB071	Proto-Eastern Polynesian	0.7660769552290329	0.23392304477096712	124	29	0.23387096774193547	Absent	NA	NA
GB071	Proto-Oceanic	0.766046585221781	0.23395341477821893	124	29	0.23387096774193547	Absent	NA	NA
GB071	Proto-Polynesian	0.7666676670575021	0.23333233294249786	124	29	0.23387096774193547	Absent	NA	NA
GB072	Proto-Central Pacific	0.8792571817655667	0.1207428182344333	122	19	0.1557377049180328	Absent	NA	NA
GB072	Proto-Eastern Polynesian	0.9713982131291015	0.02860178687089857	122	19	0.1557377049180328	Absent	NA	NA
GB072	Proto-Oceanic	0.8079194918091425	0.1920805081908575	122	19	0.1557377049180328	Absent	NA	NA
GB072	Proto-Polynesian	0.9654685981620892	0.034531401837910806	122	19	0.1557377049180328	Absent	NA	NA
GB073	Proto-Central Pacific	0.7257803670645228	0.27421963293547724	120	33	0.275	Absent	0	True Negative
GB073	Proto-Eastern Polynesian	0.7433082136597665	0.25669178634023343	120	33	0.275	Absent	NA	NA
GB073	Proto-Oceanic	0.7223734220711251	0.2776265779288749	120	33	0.275	Absent	NA	NA
GB073	Proto-Polynesian	0.7391235538345899	0.26087644616541006	120	33	0.275	Absent	NA	NA
GB074	Proto-Central Pacific	7.993462497793436e-4	0.9992006537502206	128	9	0.0703125	Present	NA	NA
GB074	Proto-Eastern Polynesian	1.546735066846613e-5	0.9999845326493315	128	9	0.0703125	Present	NA	NA
GB074	Proto-Oceanic	0.0769076038892034	0.9230923961107966	128	9	0.0703125	Present	1	True Positive
